id,nomor_kk,wilayah_id,alamat_lengkap,kepala_keluarga_id,foto_scan_url
kk-1,32010163440001,wilayah-1,Jl. Raya Dusun Krajan RT 01/RW 01,,
kk-2,32010172010002,wilayah-2,Jl. Kampung Dusun Krajan RT 02/RW 01,,
kk-3,32010157210003,wilayah-3,Jl. Sawah Dusun Krajan RT 03/RW 01,,
kk-4,32010153570004,wilayah-4,Jl. Kebon Dusun Krajan RT 04/RW 01,,
kk-5,32010126290005,wilayah-5,Jl. Pasar Dusun Krajan RT 05/RW 01,,
kk-6,32010134320006,wilayah-6,Jl. Raya Dusun Krajan RT 06/RW 01,,
kk-7,32010180090007,wilayah-7,Jl. Kampung Dusun Krajan RT 07/RW 01,,
kk-8,32010180750008,wilayah-8,Jl. Sawah Dusun Krajan RT 08/RW 01,,
kk-9,32010115590009,wilayah-9,Jl. Kebon Dusun Krajan RT 01/RW 02,,
kk-10,32010136630010,wilayah-10,Jl. Pasar Dusun Krajan RT 02/RW 02,,
kk-11,32010167790011,wilayah-11,Jl. Raya Dusun Krajan RT 03/RW 02,,
kk-12,32010111930012,wilayah-12,Jl. Kampung Dusun Krajan RT 04/RW 02,,
kk-13,32010161820013,wilayah-13,Jl. Sawah Dusun Krajan RT 05/RW 02,,
kk-14,32010171510014,wilayah-14,Jl. Kebon Dusun Krajan RT 06/RW 02,,
kk-15,32010177600015,wilayah-15,Jl. Pasar Dusun Krajan RT 07/RW 02,,
kk-16,32010161860016,wilayah-16,Jl. Raya Dusun Krajan RT 08/RW 02,,
kk-17,32010116220017,wilayah-17,Jl. Kampung Dusun Krajan RT 01/RW 03,,
kk-18,32010123200018,wilayah-18,Jl. Sawah Dusun Krajan RT 02/RW 03,,
kk-19,32010167330019,wilayah-19,Jl. Kebon Dusun Krajan RT 03/RW 03,,
kk-20,32010192160020,wilayah-20,Jl. Pasar Dusun Krajan RT 04/RW 03,,
kk-21,32010184760021,wilayah-21,Jl. Raya Dusun Krajan RT 05/RW 03,,
kk-22,32010128320022,wilayah-22,Jl. Kampung Dusun Krajan RT 06/RW 03,,
kk-23,32010162420023,wilayah-23,Jl. Sawah Dusun Krajan RT 07/RW 03,,
kk-24,32010127700024,wilayah-24,Jl. Kebon Dusun Krajan RT 08/RW 03,,
kk-25,32010167230025,wilayah-25,Jl. Pasar Dusun Krajan RT 01/RW 04,,
kk-26,32010163440026,wilayah-26,Jl. Raya Dusun Krajan RT 02/RW 04,,
kk-27,32010152610027,wilayah-27,Jl. Kampung Dusun Krajan RT 03/RW 04,,
kk-28,32010181010028,wilayah-28,Jl. Sawah Dusun Krajan RT 04/RW 04,,
kk-29,32010155400029,wilayah-29,Jl. Kebon Dusun Krajan RT 05/RW 04,,
kk-30,32010110990030,wilayah-30,Jl. Pasar Dusun Krajan RT 06/RW 04,,
kk-31,32010186660031,wilayah-31,Jl. Raya Dusun Krajan RT 07/RW 04,,
kk-32,32010199160032,wilayah-32,Jl. Kampung Dusun Krajan RT 08/RW 04,,
kk-33,32010174600033,wilayah-33,Jl. Sawah Dusun Krajan RT 01/RW 05,,
kk-34,32010145330034,wilayah-34,Jl. Kebon Dusun Krajan RT 02/RW 05,,
kk-35,32010154900035,wilayah-35,Jl. Pasar Dusun Krajan RT 03/RW 05,,
kk-36,32010128320036,wilayah-36,Jl. Raya Dusun Krajan RT 04/RW 05,,
kk-37,32010158920037,wilayah-37,Jl. Kampung Dusun Krajan RT 05/RW 05,,
kk-38,32010102060038,wilayah-38,Jl. Sawah Dusun Krajan RT 06/RW 05,,
kk-39,32010139900039,wilayah-39,Jl. Kebon Dusun Krajan RT 07/RW 05,,
kk-40,32010146940040,wilayah-40,Jl. Pasar Dusun Krajan RT 08/RW 05,,
kk-41,32010101020041,wilayah-41,Jl. Raya Dusun Sumber RT 01/RW 01,,
kk-42,32010134340042,wilayah-42,Jl. Kampung Dusun Sumber RT 02/RW 01,,
kk-43,32010100840043,wilayah-43,Jl. Sawah Dusun Sumber RT 03/RW 01,,
kk-44,32010182080044,wilayah-44,Jl. Kebon Dusun Sumber RT 04/RW 01,,
kk-45,32010153390045,wilayah-45,Jl. Pasar Dusun Sumber RT 05/RW 01,,
kk-46,32010127240046,wilayah-46,Jl. Raya Dusun Sumber RT 06/RW 01,,
kk-47,32010181650047,wilayah-47,Jl. Kampung Dusun Sumber RT 07/RW 01,,
kk-48,32010189110048,wilayah-48,Jl. Sawah Dusun Sumber RT 08/RW 01,,
kk-49,32010118330049,wilayah-49,Jl. Kebon Dusun Sumber RT 01/RW 02,,
kk-50,32010194770050,wilayah-50,Jl. Pasar Dusun Sumber RT 02/RW 02,,
kk-51,32010183530051,wilayah-51,Jl. Raya Dusun Sumber RT 03/RW 02,,
kk-52,32010136150052,wilayah-52,Jl. Kampung Dusun Sumber RT 04/RW 02,,
kk-53,32010158330053,wilayah-53,Jl. Sawah Dusun Sumber RT 05/RW 02,,
kk-54,32010180120054,wilayah-54,Jl. Kebon Dusun Sumber RT 06/RW 02,,
kk-55,32010165840055,wilayah-55,Jl. Pasar Dusun Sumber RT 07/RW 02,,
