id,penduduk_id,jenis_mutasi,tanggal_peristiwa,keterangan,created_by
mutasi-1,penduduk-4,MATI,2023-09-23,Mutasi MATI untuk Putri Wulandari,
mutasi-2,penduduk-16,PERUBAHAN STATUS,2023-08-06,Mutasi PERUBAHAN STATUS untuk Fitri Wibowo,
mutasi-3,penduduk-19,PERUBAHAN STATUS,2024-10-30,Mutasi PERUBAHAN STATUS untuk Fitri Sari,
mutasi-4,penduduk-23,PINDAH MASUK,2022-08-16,Mutasi PINDAH MASUK untuk Siti Hidayat,
mutasi-5,penduduk-26,PINDAH MASUK,2022-12-02,Mutasi PINDAH MASUK untuk Tono Hidayati,
mutasi-6,penduduk-28,PINDAH MASUK,2020-08-03,Mutasi PINDAH MASUK untuk Kartika Hidayati,
mutasi-7,penduduk-33,MATI,2020-08-25,Mutasi MATI untuk Ahmad Purnomo,
mutasi-8,penduduk-38,PINDAH MASUK,2023-03-02,Mutasi PINDAH MASUK untuk Maya Setiawan,
mutasi-9,penduduk-42,PINDAH KELUAR,2021-07-14,Mutasi PINDAH KELUAR untuk Kartika Prasetyo,
mutasi-10,penduduk-44,PINDAH KELUAR,2022-07-11,Mutasi PINDAH KELUAR untuk Hani Prasetyo,
mutasi-11,penduduk-51,LAHIR,2021-12-10,Mutasi LAHIR untuk Fitri Purnomo,
mutasi-12,penduduk-55,PINDAH KELUAR,2021-12-13,Mutasi PINDAH KELUAR untuk Maya Indrawati,
mutasi-13,penduduk-56,PERUBAHAN STATUS,2023-04-15,Mutasi PERUBAHAN STATUS untuk Omar Lestari,
mutasi-14,penduduk-65,PINDAH KELUAR,2022-07-05,Mutasi PINDAH KELUAR untuk Eko Sari,
mutasi-15,penduduk-75,PINDAH MASUK,2021-07-09,Mutasi PINDAH MASUK untuk Omar Sari,
mutasi-16,penduduk-93,PERUBAHAN STATUS,2023-10-16,Mutasi PERUBAHAN STATUS untuk Lukman Lestari,
mutasi-17,penduduk-100,LAHIR,2021-05-27,Mutasi LAHIR untuk Indra Sari,
mutasi-18,penduduk-111,LAHIR,2021-05-22,Mutasi LAHIR untuk Sari Prasetyo,
mutasi-19,penduduk-112,PERUBAHAN STATUS,2024-12-04,Mutasi PERUBAHAN STATUS untuk Joko Wijaya,
mutasi-20,penduduk-113,PINDAH MASUK,2024-04-02,Mutasi PINDAH MASUK untuk Siti Hidayati,
