id,kk_id,nik,nama_lengkap,tempat_lahir,tgl_lahir,jenis_kelamin,gol_darah,agama,status_kawin,shdk,pendidikan,pekerjaan,nama_ayah,nama_ibu,status_dasar,catatan
penduduk-1,kk-1,32010114830001,Siti Wulandari,Bogor,1990-04-20,LAKI-LAKI,-,KONGHUCU,KAWIN,KEPALA KELUARGA,TIDAK / BELUM SEKOLAH,Buruh,,,HIDUP,
penduduk-2,kk-1,32010139360002,Kartika Rahayu,Bogor,1986-05-13,LAKI-LAKI,B,KRISTEN,BELUM KAWIN,ISTRI,S2,Pedagang,Ayah Kartika,Ibu Kartika,PINDAH,
penduduk-3,kk-1,32010193510003,Indra Sari,Bogor,2008-04-18,PEREMPUAN,A,HINDU,BELUM KAWIN,MERTUA,SMA / SEDERAJAT,Buruh,Ayah Indra,Ibu Indra,HIDUP,
penduduk-4,kk-1,32010125840004,Putri Wulandari,Bogor,1980-10-06,LAKI-LAKI,B,ISLAM,BELUM KAWIN,MERTUA,TIDAK / BELUM SEKOLAH,Guru,Ayah Putri,Ibu Putri,PINDAH,
penduduk-5,kk-2,32010168980005,Dewi Kurniawan,Bogor,1980-09-04,LAKI-LAKI,O,BUDDHA,KAWIN,KEPALA KELUARGA,BELUM TAMAT SD,Pedagang,,,PINDAH,
penduduk-6,kk-2,32010108650006,Dewi Sari,Bogor,1946-12-24,PEREMPUAN,O,HINDU,BELUM KAWIN,ORANG TUA,S2,Buruh,Ayah Dewi,Ibu Dewi,HIDUP,
penduduk-7,kk-2,32010156570007,Hani Hidayati,Bogor,1960-09-02,LAKI-LAKI,-,KRISTEN,CERAI MATI,ISTRI,TIDAK / BELUM SEKOLAH,Perawat,Ayah Hani,Ibu Hani,HIDUP,
penduduk-8,kk-2,32010115660008,Sari Sari,Bogor,1991-10-04,PEREMPUAN,-,KONGHUCU,KAWIN,ISTRI,S3,Buruh,Ayah Sari,Ibu Sari,PINDAH,
penduduk-9,kk-2,32010129110009,Fitri Wulandari,Bogor,1964-01-13,LAKI-LAKI,A,ISLAM,BELUM KAWIN,MENANTU,SMP / SEDERAJAT,Guru,Ayah Fitri,Ibu Fitri,HIDUP,
penduduk-10,kk-2,32010199480010,Sari Setiawan,Bogor,2011-11-25,LAKI-LAKI,-,KONGHUCU,CERAI MATI,KEPALA KELUARGA,S3,Buruh,Ayah Sari,Ibu Sari,HIDUP,
penduduk-11,kk-3,32010117540011,Siti Kurniawan,Bogor,1951-10-18,LAKI-LAKI,O,KATOLIK,KAWIN,KEPALA KELUARGA,SMA / SEDERAJAT,Buruh,,,HIDUP,
penduduk-12,kk-3,32010161020012,Indra Hidayat,Bogor,2023-10-19,PEREMPUAN,-,ISLAM,CERAI MATI,ISTRI,S3,Dokter,Ayah Indra,Ibu Indra,HIDUP,
penduduk-13,kk-3,32010196590013,Putri Wulandari,Bogor,1990-10-21,LAKI-LAKI,-,KRISTEN,CERAI MATI,ORANG TUA,SD / SEDERAJAT,Dokter,Ayah Putri,Ibu Putri,MATI,
penduduk-14,kk-3,32010145700014,Ahmad Prasetyo,Bogor,1962-06-15,LAKI-LAKI,O,KATOLIK,CERAI HIDUP,ISTRI,D4 / S1,Guru,Ayah Ahmad,Ibu Ahmad,MATI,
penduduk-15,kk-3,32010102240015,Budi Hidayati,Bogor,2009-08-05,PEREMPUAN,AB,KONGHUCU,CERAI MATI,KEPALA KELUARGA,SMP / SEDERAJAT,Dokter,Ayah Budi,Ibu Budi,HIDUP,
penduduk-16,kk-4,32010151320016,Fitri Wibowo,Bogor,2024-06-28,LAKI-LAKI,B,HINDU,KAWIN,KEPALA KELUARGA,S2,Petani,,,HIDUP,
penduduk-17,kk-4,32010141370017,Nur Wibowo,Bogor,1965-11-23,LAKI-LAKI,O,KRISTEN,CERAI HIDUP,SUAMI,SMP / SEDERAJAT,Petani,Ayah Nur,Ibu Nur,MATI,
penduduk-18,kk-4,32010146040018,Tono Purnomo,Bogor,1988-09-10,LAKI-LAKI,-,BUDDHA,CERAI MATI,ISTRI,SMA / SEDERAJAT,Pedagang,Ayah Tono,Ibu Tono,HIDUP,
penduduk-19,kk-4,32010136990019,Fitri Sari,Bogor,2008-02-23,PEREMPUAN,O,KATOLIK,KAWIN,SUAMI,S2,Pelajar/Mahasiswa,Ayah Fitri,Ibu Fitri,HIDUP,
penduduk-20,kk-4,32010148990020,Omar Wijaya,Bogor,1995-01-19,LAKI-LAKI,B,KONGHUCU,KAWIN,MERTUA,SMP / SEDERAJAT,Pedagang,Ayah Omar,Ibu Omar,HIDUP,
penduduk-21,kk-4,32010188360021,Dewi Prasetyo,Bogor,1953-06-27,PEREMPUAN,O,BUDDHA,CERAI MATI,ANAK,SMP / SEDERAJAT,Pedagang,Ayah Dewi,Ibu Dewi,HIDUP,
penduduk-22,kk-5,32010115880022,Lukman Lestari,Bogor,1969-07-07,LAKI-LAKI,-,KONGHUCU,KAWIN,KEPALA KELUARGA,SMP / SEDERAJAT,Guru,,,HIDUP,
penduduk-23,kk-5,32010111740023,Siti Hidayat,Bogor,2007-01-12,LAKI-LAKI,O,KONGHUCU,CERAI HIDUP,FAMILI LAIN,TIDAK / BELUM SEKOLAH,Tidak Bekerja,Ayah Siti,Ibu Siti,HIDUP,
penduduk-24,kk-5,32010134710024,Umi Purnomo,Bogor,1968-08-06,PEREMPUAN,O,BUDDHA,KAWIN,MENANTU,D4 / S1,Pelajar/Mahasiswa,Ayah Umi,Ibu Umi,HIDUP,
penduduk-25,kk-5,32010124610025,Eko Santoso,Bogor,1948-07-13,LAKI-LAKI,-,KONGHUCU,CERAI MATI,ANAK,D4 / S1,Buruh,Ayah Eko,Ibu Eko,HIDUP,
penduduk-26,kk-5,32010182110026,Tono Hidayati,Bogor,2008-06-12,PEREMPUAN,O,KATOLIK,KAWIN,ANAK,S2,Perawat,Ayah Tono,Ibu Tono,MATI,
penduduk-27,kk-5,32010138730027,Fitri Hidayat,Bogor,2024-11-16,LAKI-LAKI,O,HINDU,KAWIN,ISTRI,TIDAK / BELUM SEKOLAH,Guru,Ayah Fitri,Ibu Fitri,HIDUP,
penduduk-28,kk-6,32010167640028,Kartika Hidayati,Bogor,1954-01-08,LAKI-LAKI,-,KATOLIK,KAWIN,KEPALA KELUARGA,D4 / S1,Perawat,,,HIDUP,
penduduk-29,kk-6,32010122670029,Sari Hidayat,Bogor,1982-05-05,LAKI-LAKI,A,KATOLIK,CERAI HIDUP,ISTRI,D4 / S1,PNS,Ayah Sari,Ibu Sari,MATI,
penduduk-30,kk-6,32010196360030,Omar Hidayat,Bogor,1983-11-18,LAKI-LAKI,B,BUDDHA,KAWIN,ANAK,D4 / S1,Tidak Bekerja,Ayah Omar,Ibu Omar,HIDUP,
penduduk-31,kk-6,32010129470031,Rudi Wijaya,Bogor,1983-09-11,LAKI-LAKI,A,KATOLIK,KAWIN,KEPALA KELUARGA,D1 / D2 / D3,Wiraswasta,Ayah Rudi,Ibu Rudi,HIDUP,
penduduk-32,kk-6,32010115520032,Maya Kurniawan,Bogor,2014-07-19,PEREMPUAN,AB,KATOLIK,CERAI MATI,FAMILI LAIN,SMA / SEDERAJAT,Pelajar/Mahasiswa,Ayah Maya,Ibu Maya,HIDUP,
penduduk-33,kk-6,32010102920033,Ahmad Purnomo,Bogor,1952-06-09,PEREMPUAN,O,ISLAM,KAWIN,CUCU,SMP / SEDERAJAT,Tidak Bekerja,Ayah Ahmad,Ibu Ahmad,HIDUP,
penduduk-34,kk-6,32010119560034,Kartika Lestari,Bogor,1959-02-04,LAKI-LAKI,O,BUDDHA,KAWIN,SUAMI,D1 / D2 / D3,Pelajar/Mahasiswa,Ayah Kartika,Ibu Kartika,HIDUP,
penduduk-35,kk-7,32010129540035,Rudi Prasetyo,Bogor,1998-06-18,LAKI-LAKI,B,KRISTEN,KAWIN,KEPALA KELUARGA,BELUM TAMAT SD,Buruh,,,HIDUP,
penduduk-36,kk-7,32010109430036,Indra Sari,Bogor,1964-09-03,PEREMPUAN,AB,KONGHUCU,CERAI HIDUP,SUAMI,TIDAK / BELUM SEKOLAH,Dokter,Ayah Indra,Ibu Indra,MATI,
penduduk-37,kk-7,32010196910037,Dewi Sari,Bogor,2015-09-14,LAKI-LAKI,A,KONGHUCU,CERAI MATI,ISTRI,BELUM TAMAT SD,Tidak Bekerja,Ayah Dewi,Ibu Dewi,HIDUP,
penduduk-38,kk-7,32010196010038,Maya Setiawan,Bogor,1993-04-10,PEREMPUAN,A,ISLAM,KAWIN,CUCU,S2,Pedagang,Ayah Maya,Ibu Maya,HIDUP,
penduduk-39,kk-8,32010149660039,Fitri Sari,Bogor,2012-09-02,LAKI-LAKI,AB,BUDDHA,KAWIN,KEPALA KELUARGA,TIDAK / BELUM SEKOLAH,PNS,,,HIDUP,
penduduk-40,kk-8,32010139920040,Lukman Santoso,Bogor,2009-11-04,LAKI-LAKI,O,KATOLIK,CERAI MATI,CUCU,D1 / D2 / D3,PNS,Ayah Lukman,Ibu Lukman,PINDAH,
penduduk-41,kk-8,32010190050041,Sari Rahayu,Bogor,1990-02-09,PEREMPUAN,A,KONGHUCU,CERAI HIDUP,CUCU,S3,Pedagang,Ayah Sari,Ibu Sari,HIDUP,
penduduk-42,kk-8,32010113010042,Kartika Prasetyo,Bogor,1956-06-18,LAKI-LAKI,AB,HINDU,CERAI MATI,KEPALA KELUARGA,BELUM TAMAT SD,PNS,Ayah Kartika,Ibu Kartika,HIDUP,
penduduk-43,kk-8,32010167640043,Nur Sari,Bogor,2024-06-25,LAKI-LAKI,O,KRISTEN,CERAI MATI,ORANG TUA,SMA / SEDERAJAT,Petani,Ayah Nur,Ibu Nur,HIDUP,
penduduk-44,kk-9,32010125490044,Hani Prasetyo,Bogor,1984-04-19,LAKI-LAKI,O,KONGHUCU,KAWIN,KEPALA KELUARGA,S2,Tidak Bekerja,,,HIDUP,
penduduk-45,kk-9,32010147860045,Lukman Setiawan,Bogor,1971-12-28,PEREMPUAN,B,BUDDHA,CERAI MATI,MERTUA,D1 / D2 / D3,Pedagang,Ayah Lukman,Ibu Lukman,HIDUP,
penduduk-46,kk-9,32010179290046,Sari Sari,Bogor,1968-06-26,PEREMPUAN,O,KATOLIK,KAWIN,SUAMI,SD / SEDERAJAT,Pelajar/Mahasiswa,Ayah Sari,Ibu Sari,HIDUP,
penduduk-47,kk-9,32010106670047,Sari Wijaya,Bogor,1984-01-14,LAKI-LAKI,A,KATOLIK,CERAI MATI,ANAK,SD / SEDERAJAT,Wiraswasta,Ayah Sari,Ibu Sari,PINDAH,
penduduk-48,kk-10,32010173000048,Siti Sari,Bogor,1961-05-02,LAKI-LAKI,B,KATOLIK,KAWIN,KEPALA KELUARGA,D4 / S1,PNS,,,HIDUP,
penduduk-49,kk-10,32010186610049,Hani Santoso,Bogor,1987-03-17,PEREMPUAN,O,HINDU,BELUM KAWIN,ANAK,BELUM TAMAT SD,PNS,Ayah Hani,Ibu Hani,HIDUP,
penduduk-50,kk-10,32010116950050,Nur Lestari,Bogor,2023-09-05,PEREMPUAN,B,HINDU,CERAI MATI,SUAMI,D1 / D2 / D3,Karyawan Swasta,Ayah Nur,Ibu Nur,MATI,
penduduk-51,kk-10,32010126910051,Fitri Purnomo,Bogor,2013-10-16,LAKI-LAKI,O,HINDU,CERAI HIDUP,SUAMI,D4 / S1,Perawat,Ayah Fitri,Ibu Fitri,HIDUP,
penduduk-52,kk-10,32010142000052,Fitri Prasetyo,Bogor,1986-07-04,LAKI-LAKI,-,KRISTEN,KAWIN,SUAMI,D1 / D2 / D3,Pelajar/Mahasiswa,Ayah Fitri,Ibu Fitri,HIDUP,
penduduk-53,kk-10,32010165120053,Gunawan Wulandari,Bogor,1994-07-21,PEREMPUAN,-,KATOLIK,CERAI MATI,CUCU,SMA / SEDERAJAT,Guru,Ayah Gunawan,Ibu Gunawan,HIDUP,
penduduk-54,kk-10,32010161740054,Umi Setiawan,Bogor,2003-09-08,PEREMPUAN,A,KATOLIK,BELUM KAWIN,ISTRI,TIDAK / BELUM SEKOLAH,Dokter,Ayah Umi,Ibu Umi,PINDAH,
penduduk-55,kk-11,32010156450055,Maya Indrawati,Bogor,1947-12-01,LAKI-LAKI,O,KRISTEN,KAWIN,KEPALA KELUARGA,SMA / SEDERAJAT,Petani,,,HIDUP,
penduduk-56,kk-11,32010115440056,Omar Lestari,Bogor,2002-01-15,PEREMPUAN,O,ISLAM,CERAI HIDUP,ISTRI,S3,Pelajar/Mahasiswa,Ayah Omar,Ibu Omar,HIDUP,
penduduk-57,kk-11,32010191280057,Sari Saputra,Bogor,1989-08-03,LAKI-LAKI,AB,KATOLIK,CERAI HIDUP,ISTRI,SMP / SEDERAJAT,Wiraswasta,Ayah Sari,Ibu Sari,HIDUP,
penduduk-58,kk-11,32010138960058,Kartika Prasetyo,Bogor,1976-05-06,LAKI-LAKI,O,KATOLIK,KAWIN,FAMILI LAIN,D4 / S1,Pedagang,Ayah Kartika,Ibu Kartika,PINDAH,
penduduk-59,kk-12,32010106870059,Maya Sari,Bogor,1995-04-08,LAKI-LAKI,O,ISLAM,KAWIN,KEPALA KELUARGA,SMP / SEDERAJAT,Buruh,,,MATI,
