id,penduduk_id,jenis_surat,nomor_surat,tanggal_cetak,keterangan,admin_id,data_penduduk_snapshot
surat-1,penduduk-2,SURAT KETERANGAN USAHA,SK/0001/2024,2024-06-22,Surat SURAT KETERANGAN USAHA untuk Kartika Rahayu,,
surat-2,penduduk-45,SURAT KETERANGAN DOMISILI,SK/0002/2024,2024-07-29,Surat SURAT KETERANGAN DOMISILI untuk Lukman Setiawan,,
surat-3,penduduk-53,SURAT KETERANGAN TIDAK MAMPU,SK/0003/2023,2023-08-15,Surat SURAT KETERANGAN TIDAK MAMPU untuk Gunawan Wulandari,,
surat-4,penduduk-57,SURAT KETERANGAN USAHA,SK/0004/2023,2023-04-14,Surat SURAT KETERANGAN USAHA untuk Sari Saputra,,
surat-5,penduduk-59,SURAT KETERANGAN TIDAK MAMPU,SK/0005/2023,2023-09-21,Surat SURAT KETERANGAN TIDAK MAMPU untuk Maya Sari,,
surat-6,penduduk-60,SURAT KETERANGAN DOMISILI,SK/0006/2023,2023-01-31,Surat SURAT KETERANGAN DOMISILI untuk Lukman Saputra,,
surat-7,penduduk-102,SURAT KETERANGAN DOMISILI,SK/0007/2024,2024-12-29,Surat SURAT KETERANGAN DOMISILI untuk Maya Lestari,,
surat-8,penduduk-114,SURAT PENGANTAR KTP,SK/0008/2024,2024-09-19,Surat SURAT PENGANTAR KTP untuk Tono Santoso,,
surat-9,penduduk-122,SURAT KETERANGAN USAHA,SK/0009/2024,2024-07-18,Surat SURAT KETERANGAN USAHA untuk Maya Wijaya,,
surat-10,penduduk-133,SURAT KETERANGAN USAHA,SK/0010/2023,2023-06-06,Surat SURAT KETERANGAN USAHA untuk Omar Lestari,,
surat-11,penduduk-134,SURAT KETERANGAN TIDAK MAMPU,SK/0011/2024,2024-10-22,Surat SURAT KETERANGAN TIDAK MAMPU untuk Siti Prasetyo,,
surat-12,penduduk-145,SURAT KETERANGAN KELAKUAN BAIK,SK/0012/2023,2023-07-04,Surat SURAT KETERANGAN KELAKUAN BAIK untuk Indra Rahayu,,
surat-13,penduduk-168,SURAT KETERANGAN KELAKUAN BAIK,SK/0013/2024,2024-07-29,Surat SURAT KETERANGAN KELAKUAN BAIK untuk Budi Sari,,
surat-14,penduduk-172,SURAT KETERANGAN DOMISILI,SK/0014/2023,2023-12-26,Surat SURAT KETERANGAN DOMISILI untuk Eko Sari,,
surat-15,penduduk-195,SURAT KETERANGAN TIDAK MAMPU,SK/0015/2023,2023-08-20,Surat SURAT KETERANGAN TIDAK MAMPU untuk Hani Wibowo,,
surat-16,penduduk-201,SURAT KETERANGAN USAHA,SK/0016/2024,2024-02-24,Surat SURAT KETERANGAN USAHA untuk Joko Santoso,,
surat-17,penduduk-221,SURAT KETERANGAN USAHA,SK/0017/2024,2024-04-03,Surat SURAT KETERANGAN USAHA untuk Hani Sari,,
surat-18,penduduk-238,SURAT KETERANGAN USAHA,SK/0018/2024,2024-04-25,Surat SURAT KETERANGAN USAHA untuk Maya Sari,,
surat-19,penduduk-278,SURAT KETERANGAN DOMISILI,SK/0019/2024,2024-08-18,Surat SURAT KETERANGAN DOMISILI untuk Siti Sari,,
surat-20,penduduk-292,SURAT KETERANGAN KELAKUAN BAIK,SK/0020/2023,2023-07-01,Surat SURAT KETERANGAN KELAKUAN BAIK untuk Eko Wulandari,,
surat-21,penduduk-295,SURAT KETERANGAN TIDAK MAMPU,SK/0021/2023,2023-11-28,Surat SURAT KETERANGAN TIDAK MAMPU untuk Sari Prasetyo,,
surat-22,penduduk-326,SURAT KETERANGAN TIDAK MAMPU,SK/0022/2023,2023-07-30,Surat SURAT KETERANGAN TIDAK MAMPU untuk Joko Sari,,
surat-23,penduduk-342,SURAT KETERANGAN DOMISILI,SK/0023/2024,2024-07-05,Surat SURAT KETERANGAN DOMISILI untuk Gunawan Santoso,,
surat-24,penduduk-354,SURAT KETERANGAN KELAKUAN BAIK,SK/0024/2024,2024-04-06,Surat SURAT KETERANGAN KELAKUAN BAIK untuk Hani Wijaya,,
surat-25,penduduk-357,SURAT PENGANTAR KTP,SK/0025/2024,2024-09-03,Surat SURAT PENGANTAR KTP untuk Rudi Sari,,
surat-26,penduduk-358,SURAT KETERANGAN KELAKUAN BAIK,SK/0026/2023,2023-05-22,Surat SURAT KETERANGAN KELAKUAN BAIK untuk Indra Sari,,
surat-27,penduduk-363,SURAT KETERANGAN DOMISILI,SK/0027/2023,2023-05-26,Surat SURAT KETERANGAN DOMISILI untuk Indra Saputra,,
